title,company,location,salary,posted_date,source,experience_level,link,scraped_at,seniority
# Exported 7 jobs on 2025-08-04 09:05:17,# Generated by Job Scraper,# Total jobs: 7,,,,,,,
AI/ML /Python Developer,IT Alliance Australia,"Australian Capital Territory, Australia",N/A,2025-08-04,LinkedIn,mid,https://au.linkedin.com/jobs/view/ai-ml-python-developer-at-it-alliance-australia-4279523719?position=19&pageNum=0&refId=JsvyVjLYLR9ff87zrVMFow%3D%3D&trackingId=qWYyJ7q%2FWTMNaMXPHzd5Vg%3D%3D,1754278509.1086268,N/A
Python and AI Developer,NTT DATA Asia Pacific,"WP. Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",N/A,2025-08-04,LinkedIn,mid,https://my.linkedin.com/jobs/view/python-and-ai-developer-at-ntt-data-asia-pacific-4278484504?position=43&pageNum=0&refId=JsvyVjLYLR9ff87zrVMFow%3D%3D&trackingId=WkDjDbQOnr3yd%2FKedqduvQ%3D%3D,1754278509.1264312,N/A
Python Developer,HCLTech,"Bengaluru, Karnataka, India",N/A,2025-08-03,LinkedIn,mid,https://in.linkedin.com/jobs/view/python-developer-at-hcltech-4277313123?position=48&pageNum=0&refId=DtnQEJ26ArkcBXZO8XglBQ%3D%3D&trackingId=xvpcGV1CdTf1oiQEe%2FQm0A%3D%3D,1754278487.5392802,N/A
AI Python Engineer,OpenText,"Bengaluru, Karnataka, India",N/A,2025-08-03,LinkedIn,mid,https://in.linkedin.com/jobs/view/ai-python-engineer-at-opentext-4253818817?position=49&pageNum=0&refId=DtnQEJ26ArkcBXZO8XglBQ%3D%3D&trackingId=nZXRRGI9Tp06QZFyLRP0%2Fg%3D%3D,1754278487.5400276,N/A
Software Engineer - Python+ Machine Learning Engineer,GeBBS Healthcare Solutions,"Thane, Maharashtra, India",N/A,2025-08-03,LinkedIn,mid,https://in.linkedin.com/jobs/view/software-engineer-python%2B-machine-learning-engineer-at-gebbs-healthcare-solutions-4279379740?position=6&pageNum=0&refId=JsvyVjLYLR9ff87zrVMFow%3D%3D&trackingId=zpDyU8vnDopwxhpNGlnZsg%3D%3D,1754278509.0992997,N/A
Python / AI Engineer,NAIRON GmbH,Greece,N/A,2025-08-03,LinkedIn,mid,https://gr.linkedin.com/jobs/view/python-ai-engineer-at-nairon-gmbh-4277095607?position=27&pageNum=0&refId=JsvyVjLYLR9ff87zrVMFow%3D%3D&trackingId=34kVHQURwXWScCaVyyMSCg%3D%3D,1754278509.1145377,N/A
"Senior AI Engineer (Python/ML) / Fintech / $250,000 W2 / Hybrid (2 days) / New York, NY",Open Talent,New York City Metropolitan Area,N/A,2025-08-03,LinkedIn,senior,https://www.linkedin.com/jobs/view/senior-ai-engineer-python-ml-fintech-%24250-000-w2-hybrid-2-days-new-york-ny-at-open-talent-4254898425?position=59&pageNum=0&refId=JsvyVjLYLR9ff87zrVMFow%3D%3D&trackingId=s6%2BXsCjPIKReJ6EzFgEZZQ%3D%3D,1754278509.137913,N/A
